,coef,RF,RF_lower,RF_upper,p_value
Intercept,5.420940245786172,226.0916042720405,176.40212735310985,289.77776112632466,0.0
C(cobertura)[T.Limitada],-0.4069922628057554,0.6656493405398436,0.556851037153374,0.795704802537861,7.82910058772155e-06
C(cobertura)[T.RC],-0.10905737451111114,0.8966789695048488,0.7654427114039025,1.05041587355061,0.17676539383285417
C(sexo)[T.Mujer],-0.03049916370231862,0.9699612432432101,0.854603662116914,1.1008902197580384,0.6368449380528588
C(combustible)[T.Gasolina],-0.16648216764743765,0.8466379143466094,0.7496662726717753,0.9561531365877649,0.007308778984545598
"C(edad_conductor_cat)[T.(30, 35]]",-0.19094601099044176,0.8261771914354247,0.6774804770270995,1.007510584870807,0.05928275166140924
"C(edad_conductor_cat)[T.(35, 45]]",-0.29994431494075996,0.7408594743368181,0.6219832835949449,0.882455807400878,0.0007756517713693157
"C(edad_conductor_cat)[T.(45, 50]]",-0.21946365923459488,0.8029493369563157,0.6520242806805641,0.9888092465600191,0.038834244983200206
"C(edad_conductor_cat)[T.(50, 55]]",-0.4276872114749378,0.6520153258186366,0.5167217038776823,0.8227329758206123,0.00031279930949866736
"C(edad_conductor_cat)[T.(55, 60]]",-0.5439611913321912,0.5804444409791321,0.4475240368279718,0.752843917505793,4.138220132023642e-05
"C(edad_conductor_cat)[T.(60, 95]]",-0.4354955414418167,0.6469440000701314,0.5321969317208961,0.7864317027784714,1.2324324595326696e-05
"C(potencia_cat)[T.(50, 60]]",-0.051210863257243985,0.9500783128014533,0.8075269298359739,1.1177940538020243,0.53695550139094
"C(potencia_cat)[T.(60, 70]]",0.02409830275530208,1.0243910134003413,0.8563690088305626,1.2253794071417683,0.7920531009720523
"C(potencia_cat)[T.(70, 250]]",0.16858463229162446,1.1836283957896028,0.987365936830658,1.4189026854789584,0.06837236720453843
"C(potencia_cat)[T.(9, 40]]",-0.06692928377758456,0.935261337147046,0.7917167463326008,1.1048317126218932,0.4311074960699899
"C(nivel_bonus_cat)[T.(0, 1]]",0.2083854111870141,1.2316877843330596,1.0380906961148952,1.4613894563865495,0.016918244949312374
"C(nivel_bonus_cat)[T.(1, 2]]",0.24068224358335222,1.272116747819814,0.9905256373593718,1.6337598534024953,0.05937220178332282
"C(nivel_bonus_cat)[T.(10, 25]]",0.9287006860107196,2.5312181928616737,2.066272091016091,3.100785016518922,2.998439956444651e-19
"C(nivel_bonus_cat)[T.(2, 5]]",0.41939486514644664,1.5210408422415342,1.281095224754814,1.8059276149512022,1.683908135908642e-06
"C(nivel_bonus_cat)[T.(5, 10]]",0.6234763853245574,1.8654016378479066,1.5767037823796681,2.2069606919023297,3.652875338739035e-13
