,coef,RF,RF_lower,RF_upper,p_value
Intercept,-1.8118584958970918,0.1633502687171728,0.15064765146169554,0.17712397127383825,0.0
"C(nivel_bonus_cat)[T.(0, 1]]",0.12440070538858022,1.1324695667517386,1.0825981336914545,1.1846383987803784,6.166469515178184e-08
"C(nivel_bonus_cat)[T.(1, 2]]",0.19041772905802748,1.209754841872849,1.133650707035983,1.2909679924791415,9.24262249841173e-09
"C(nivel_bonus_cat)[T.(10, 25]]",0.8510136763846569,2.342019699134632,2.2272968882109394,2.462651611541785,7.644670614385108e-242
"C(nivel_bonus_cat)[T.(2, 5]]",0.34267479095342307,1.4087105620063367,1.3478020806302229,1.4723715566459776,3.778011602287251e-52
"C(nivel_bonus_cat)[T.(5, 10]]",0.5320064424282248,1.7023445405639699,1.6310907237230885,1.7767110637310848,2.3421271017186966e-131
"C(edad_conductor_cat)[T.(30, 35]]",-0.13402441394871817,0.874568712666991,0.8315097299808176,0.9198574660018024,1.961075109439009e-07
"C(edad_conductor_cat)[T.(35, 45]]",-0.14368437996275865,0.8661610827151724,0.8288946626342266,0.905102970293081,1.516416275910509e-10
"C(edad_conductor_cat)[T.(45, 50]]",-0.16481699695288762,0.8480488854182864,0.8037609976178041,0.894777072028541,1.7141606234934133e-09
"C(edad_conductor_cat)[T.(50, 55]]",-0.20223312715414346,0.816904463129143,0.7708460427778009,0.865714896162053,8.483064775228334e-12
"C(edad_conductor_cat)[T.(55, 60]]",-0.2965276105787077,0.7433951014117819,0.6964657707048139,0.7934866292765158,4.976552132337639e-19
"C(edad_conductor_cat)[T.(60, 95]]",-0.3580689457616322,0.6990248785424229,0.6644620815801084,0.7353855010947504,1.458372392462967e-43
C(combustible)[T.Gasolina],-0.16925540381534612,0.8442932401317971,0.8186990975534001,0.8706875059010964,4.4372832294668005e-27
"C(antiguedad_vehiculo_cat)[T.(1, 2]]",-0.28083740236869464,0.7551511112803821,0.6992195261056611,0.8155567451670729,8.493702118505343e-13
"C(antiguedad_vehiculo_cat)[T.(10, 15]]",-0.13554202542997174,0.8732424637673262,0.812960059472478,0.9379949133309736,0.0002040626589739177
"C(antiguedad_vehiculo_cat)[T.(15, 50]]",-0.3369810194962613,0.713922390380722,0.6397981220669835,0.7966343787323007,1.6898704432602912e-09
"C(antiguedad_vehiculo_cat)[T.(2, 3]]",-0.3084813396661391,0.7345616592370835,0.6785217383448331,0.7952299841378342,2.556676889798155e-14
"C(antiguedad_vehiculo_cat)[T.(3, 4]]",-0.20855732191972673,0.8117545020424819,0.7507332196125585,0.8777357313777977,1.688028674050265e-07
"C(antiguedad_vehiculo_cat)[T.(4, 5]]",-0.20660912879117163,0.8133374980757493,0.7513236557240901,0.8804699289530289,3.290727840101736e-07
"C(antiguedad_vehiculo_cat)[T.(5, 10]]",-0.173681984980784,0.8405641671880972,0.7865905178610961,0.8982413379223937,2.9063099957366527e-07
"C(potencia_cat)[T.(50, 60]]",0.025372205527891396,1.0256968195109484,0.9845019468017868,1.0686154242483066,0.2250673252509776
"C(potencia_cat)[T.(60, 70]]",0.04230101925743989,1.043208457326773,0.9963354302763552,1.0922866460106175,0.07131341614248818
"C(potencia_cat)[T.(70, 250]]",0.1463013438159444,1.1575449545125687,1.1049150477673737,1.2126817572309925,7.168616539399979e-10
"C(potencia_cat)[T.(9, 40]]",-0.09407052133186498,0.9102185701514824,0.8717759902743729,0.9503563469187274,1.9308875818396616e-05
C(cobertura)[T.Limitada],-0.010985594480307281,0.9890745268053168,0.9406407982021739,1.0400021149889567,0.6680335774008848
C(cobertura)[T.RC],0.05158817120344166,1.052942021364561,1.0028070790477883,1.1055834402445956,0.03820766248029844
C(uso)[T.Trabajo],-0.07621588332592005,0.926616143990057,0.8679233149013589,0.9892780428425126,0.02243696689389134
