,coef,RF,RF_lower,RF_upper,p_value
Intercept,7.520904631747021,1846.2367031734,1522.2929156292919,2239.1156978718036,0.0
"C(edad_conductor_cat)[T.(30, 35]]",-0.060372064574664264,0.9414142015407396,0.8281581077084853,1.070158814619195,0.3559262543142774
"C(edad_conductor_cat)[T.(35, 45]]",-0.148038298455268,0.8623980857950548,0.7713938641429785,0.9641384161245073,0.009271695381914243
"C(edad_conductor_cat)[T.(45, 50]]",-0.049377447990923806,0.9518217986627594,0.8313671885188806,1.0897287611550186,0.4744455000603154
"C(edad_conductor_cat)[T.(50, 55]]",-0.22921487389303424,0.7951576565260169,0.6867176291108371,0.9207215191935852,0.0021826949620941025
"C(edad_conductor_cat)[T.(55, 60]]",-0.24276551126791424,0.7844554381676881,0.665652551567986,0.9244617676613973,0.0037624199795836966
"C(edad_conductor_cat)[T.(60, 95]]",-0.07858988651492799,0.924418963398027,0.8138603932727436,1.0499963224079671,0.22654846165561382
"C(antiguedad_vehiculo_cat)[T.(1, 2]]",-0.3503241179504163,0.704459724669996,0.5796608626776331,0.856127324846,0.00042923542817647955
"C(antiguedad_vehiculo_cat)[T.(10, 15]]",-0.33633862093040445,0.7143811604412732,0.6022184146762021,0.8474341367787923,0.00011352471399616569
"C(antiguedad_vehiculo_cat)[T.(15, 50]]",-0.11328174023764673,0.892899059081512,0.6813579607534179,1.1701172887553293,0.4115503682845072
"C(antiguedad_vehiculo_cat)[T.(2, 3]]",-0.40183536304857237,0.6690908937078491,0.5476186689197701,0.8175079657635939,8.449163122898987e-05
"C(antiguedad_vehiculo_cat)[T.(3, 4]]",-0.47264753539908144,0.6233497411801916,0.5126072024383793,0.7580168557544241,2.177709590982686e-06
"C(antiguedad_vehiculo_cat)[T.(4, 5]]",-0.31832094819288026,0.7273693030848707,0.5975168348646697,0.8854413335316277,0.0015105054493131593
"C(antiguedad_vehiculo_cat)[T.(5, 10]]",-0.33124908663322694,0.7180262960114129,0.6121942634776026,0.8421538595203305,4.6685052240134694e-05
"C(potencia_cat)[T.(50, 60]]",-0.06707701332540414,0.9351231816176943,0.8430183678050955,1.037290998861097,0.2048233148690679
"C(potencia_cat)[T.(60, 70]]",-0.0009533772789398348,0.9990470770407873,0.8901630876719534,1.1212496630859659,0.9870804722856155
"C(potencia_cat)[T.(70, 250]]",0.05854264565299876,1.0602902014984728,0.9465547089258799,1.187691847911671,0.31190563287168016
"C(potencia_cat)[T.(9, 40]]",0.02195556140487285,1.0221983584021217,0.9174581544540428,1.1388960671909674,0.6905786356735097
"C(nivel_bonus_cat)[T.(0, 1]]",0.10762228277533084,1.1136270298246904,0.9934930906715872,1.2482876561505103,0.06461548002053233
"C(nivel_bonus_cat)[T.(1, 2]]",0.08413719512042342,1.0877781214223043,0.9227836583562018,1.2822737276826475,0.3161021619355967
"C(nivel_bonus_cat)[T.(10, 25]]",0.10848799083584809,1.114591523145404,0.9818685880625623,1.26525512535129,0.09351674255412559
"C(nivel_bonus_cat)[T.(2, 5]]",0.09945309909562738,1.1045666643495815,0.987782643993763,1.2351578795304936,0.08109112040917893
"C(nivel_bonus_cat)[T.(5, 10]]",0.12097537376622813,1.1285971189286366,1.012922127006807,1.2574821132774596,0.028327753773864622
C(sexo)[T.Mujer],-0.03804869773098468,0.9626660600968919,0.8888356304024505,1.0426291561274001,0.3499961824888306
